,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
8222,64.626,0.0,53.83453364788564,53.83453364788564,0.0,64.99999999999997,0.0
8223,68.03,0.0,0.0,0.0,0.0,64.99999999999997,0.0
8224,81.964,1.6276557369109559,0.0,1.6276557369109559,0.0,64.99999999999997,0.0
8225,89.497,8.127381347596957,0.0,57.37738134759696,0.0,64.99999999999997,49.25
8226,78.869,28.612124200083496,0.0,25.711471553237953,0.0,14.999999999999972,-2.9006526468455434
8227,68.479,53.29691002846958,0.0,50.39625738162404,0.0,17.85714285714283,-2.9006526468455434
8228,65.13,73.60844841456905,0.0,70.70779576772351,0.0,20.71428571428568,-2.9006526468455434
8229,62.166,99.82063533141448,0.0,96.91998268456894,0.0,23.57142857142854,-2.9006526468455434
8230,62.007,128.8893841376439,0.0,125.98873149079836,0.0,26.42857142857141,-2.900652646845544
8231,62.007,169.39581252975688,0.0,166.49515988291134,0.0,29.285714285714263,-2.9006526468455434
8232,37.107,199.8906518546334,0.0,196.98999920778786,0.0,32.14285714285712,-2.9006526468455434
8233,35.872,219.86671044431526,0.0,216.96605779746972,0.0,34.99999999999998,-2.900652646845544
8234,35.87,234.8701728965659,0.0,231.96952024972035,0.0,37.857142857142826,-2.900652646845544
8235,35.87,229.32723599611776,0.0,226.42658334927222,0.0,40.71428571428569,-2.9006526468455442
8236,35.87,203.87742893913295,0.0,200.9767762922874,0.0,43.57142857142854,-2.9006526468455434
8237,35.87,186.6354479984552,0.0,183.73479535160965,0.0,46.428571428571395,-2.9006526468455434
8238,35.87,103.86086333448618,0.0,100.96021068764064,0.0,49.28571428571425,-2.9006526468455442
8239,35.563,23.986747378602665,0.0,21.08609473175712,0.0,52.1428571428571,-2.9006526468455442
8240,35.343,6.967905533586902,0.0,4.067252886741358,0.0,54.99999999999997,-2.9006526468455434
8241,33.298,10.433517288005573,0.5144592300868156,8.047323871246846,0.0,57.85714285714283,-2.9006526468455434
8242,32.634,22.88271375050405,13.423497612753577,33.40555871641208,0.0,60.714285714285694,-2.900652646845545
8243,32.634,26.22785715085008,49.098243327842724,72.42544783184726,0.0,63.571428571428555,-2.9006526468455434
8244,32.634,11.147679385594229,59.850539736763764,68.09756647551245,0.0,66.42857142857142,-2.9006526468455434
8245,33.207,0.0,60.651832965977405,57.75118031913186,0.0,69.28571428571428,-2.9006526468455434
8246,34.741,0.0,52.84506764937176,49.94441500252621,0.0,72.14285714285714,-2.9006526468455434
8247,35.907,0.0,0.0,0.0,0.0,75.0,0.0
8248,37.512,0.0,0.0,0.0,0.0,75.0,0.0
8249,40.851,6.054153273101171,0.0,6.054153273101171,0.0,75.0,0.0
8250,40.391,17.003281543749683,0.0,15.348017805060639,0.0,75.0,-1.6552637386890439
8251,39.119,37.860592887849435,0.0,36.20532914916039,0.0,76.6304347826087,-1.6552637386890439
8252,36.922,66.82546032449162,0.0,65.17019658580257,0.0,78.2608695652174,-1.6552637386890403
8253,36.136,98.8069582484649,0.0,97.15169450977587,0.0,79.89130434782611,-1.6552637386890368
8254,36.075,148.89929523011597,0.0,147.24403149142694,0.0,81.5217391304348,-1.6552637386890332
8255,35.918,195.94177334863792,0.0,194.2865096099489,0.0,83.1521739130435,-1.655263738689035
8256,44.258,248.45166160563048,0.0,246.79639786694145,0.0,84.7826086956522,-1.655263738689035
8257,44.258,259.62080662993594,0.0,257.9655428912469,0.0,86.4130434782609,-1.6552637386890368
